frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,TOE_x,TOE_y,TOE_z,HOSEL_x,HOSEL_y,HOSEL_z,GRIP_x,GRIP_y,GRIP_z
511,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
512,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
513,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
514,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
515,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
516,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
517,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
518,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
519,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
520,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
521,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
522,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
523,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
524,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
525,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
526,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
527,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
528,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
529,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
530,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
531,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
532,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
533,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
534,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
535,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
536,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
537,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
538,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
539,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
540,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
